FightID,Fighter,Opponent,FighterAge,OpponentAge,Outcome,WeightClass,GenderBool,ChampBoutBool
155,Nate Landwehr,Jamall Emmers,35,34,1,Featherweight,False,False
155,Jamall Emmers,Nate Landwehr,34,35,0,Featherweight,False,False
156,Virna Jandiroba,Loopy Godinez,35,30,1,Women's Strawweight,True,False
156,Loopy Godinez,Virna Jandiroba,30,35,0,Women's Strawweight,True,False
157,Julio Arce,Herbert Burns,34,36,1,Featherweight,False,False
157,Herbert Burns,Julio Arce,36,34,0,Featherweight,False,False
158,Dennis Buzukja,Connor Matthews,26,31,1,Featherweight,False,False
158,Connor Matthews,Dennis Buzukja,31,26,0,Featherweight,False,False
159,Ibo Aslan,Anton Turkalj,27,27,1,Light Heavyweight,False,False
159,Anton Turkalj,Ibo Aslan,27,27,0,Light Heavyweight,False,False
160,Jacob Malkoun,Andre Petroski,28,32,1,Middleweight,False,False
160,Andre Petroski,Jacob Malkoun,32,28,0,Middleweight,False,False
161,Caolan Loughran,Angel Pacheco,27,32,1,Bantamweight,False,False
161,Angel Pacheco,Caolan Loughran,32,27,0,Bantamweight,False,False
162,Rose Namajunas,Amanda Ribas,31,30,1,Women's Flyweight,True,False
162,Amanda Ribas,Rose Namajunas,30,31,0,Women's Flyweight,True,False
163,Karl Williams,Justin Tafa,34,30,1,Heavyweight,False,False
163,Justin Tafa,Karl Williams,30,34,0,Heavyweight,False,False
164,Edmen Shahbazyan,AJ Dobson,26,32,1,Middleweight,False,False
164,AJ Dobson,Edmen Shahbazyan,32,26,0,Middleweight,False,False
165,Payton Talbott,Cameron Saaiman,25,23,1,Bantamweight,False,False
165,Cameron Saaiman,Payton Talbott,23,25,0,Bantamweight,False,False
166,Youssef Zalal,Billy Quarantillo,27,35,1,Featherweight,False,False
166,Billy Quarantillo,Youssef Zalal,35,27,0,Featherweight,False,False
167,Fernando Padilla,Luis Pajuelo,27,29,1,Featherweight,False,False
167,Luis Pajuelo,Fernando Padilla,29,27,0,Featherweight,False,False
168,Trey Ogden,Kurt Holobaugh,34,37,1,Lightweight,False,False
168,Kurt Holobaugh,Trey Ogden,37,34,0,Lightweight,False,False
169,Julian Erosa,Ricardo Ramos,34,28,1,Featherweight,False,False
169,Ricardo Ramos,Julian Erosa,28,34,0,Featherweight,False,False
170,Miles Johns,Cody Gibson,29,36,1,Bantamweight,False,False
170,Cody Gibson,Miles Johns,36,29,0,Bantamweight,False,False
171,Jarno Errens,Steven Nguyen,29,30,1,Featherweight,False,False
171,Steven Nguyen,Jarno Errens,30,29,0,Featherweight,False,False
172,Daria Zhelezniakova,Montserrat Rendon,28,35,1,Women's Bantamweight,True,False
172,Montserrat Rendon,Daria Zhelezniakova,35,28,0,Women's Bantamweight,True,False
173,Andre Lima,Igor Severino,25,20,1,Flyweight,False,False
173,Igor Severino,Andre Lima,20,25,0,Flyweight,False,False
174,Mick Parkin,Mohammed Usman,28,34,1,Heavyweight,False,False
174,Mohammed Usman,Mick Parkin,34,28,0,Heavyweight,False,False
175,Marcin Tybura,Tai Tuivasa,38,31,1,Heavyweight,False,False
175,Tai Tuivasa,Marcin Tybura,31,38,0,Heavyweight,False,False
176,Bryan Battle,Ange Loosa,29,30,1,Welterweight,False,False
176,Ange Loosa,Bryan Battle,30,29,0,Welterweight,False,False
177,Ovince Saint Preux,Kennedy Nzechukwu,40,31,1,Light Heavyweight,False,False
177,Kennedy Nzechukwu,Ovince Saint Preux,31,40,0,Light Heavyweight,False,False
178,Christian Rodriguez,Isaac Dulgarian,26,27,1,Featherweight,False,False
178,Isaac Dulgarian,Christian Rodriguez,27,26,0,Featherweight,False,False
179,Macy Chiasson,Pannie Kianzad,32,32,1,Women's Bantamweight,True,False
179,Pannie Kianzad,Macy Chiasson,32,32,0,Women's Bantamweight,True,False
180,Gerald Meerschaert,Bryan Barberena,36,34,1,Middleweight,False,False
180,Bryan Barberena,Gerald Meerschaert,34,36,0,Middleweight,False,False
181,Mike Davis,Natan Levy,31,32,1,Lightweight,False,False
181,Natan Levy,Mike Davis,32,31,0,Lightweight,False,False
182,Chelsea Chandler,Josiane Nunes,33,30,1,Women's Bantamweight,True,False
182,Josiane Nunes,Chelsea Chandler,30,33,0,Women's Bantamweight,True,False
183,Jafel Filho,Ode Osbourne,30,32,1,Flyweight,False,False
183,Ode Osbourne,Jafel Filho,32,30,0,Flyweight,False,False
184,Danny Silva,Josh Culibao,27,29,1,Featherweight,False,False
184,Josh Culibao,Danny Silva,29,27,0,Featherweight,False,False
